BIP39 dice table -- throw d8 + d8 + d8 + d4, read left to right      page 1 of 9
2048 throws, one word each, no rerolls             this page: 1-1-1-1 .. 1-8-2-4
       *** NEVER enter a seed on an online device -- air-gapped only ***

1-1-1-1  abandon     1-2-7-3  also        1-4-6-1  attend      1-6-4-3  beyond
5-5-4-1  muscle      5-7-2-3  occur       6-1-1-1  parade      6-2-7-3  point
5-5-4-2  museum      5-7-2-4  ocean       6-1-1-2  parent      6-2-7-4  polar
5-5-4-3  mushroom    5-7-3-1  october     6-1-1-3  park        6-2-8-1  pole
5-5-4-4  music       5-7-3-2  odor        6-1-1-4  parrot      6-2-8-2  police
5-5-5-1  must        5-7-3-3  off         6-1-2-1  party       6-2-8-3  pond
5-5-5-2  mutual      5-7-3-4  offer       6-1-2-2  pass        6-2-8-4  pony
5-5-5-3  myself      5-7-4-1  office      6-1-2-3  patch       6-3-1-1  pool
5-5-5-4  mystery     5-7-4-2  often       6-1-2-4  path        6-3-1-2  popular
5-5-6-1  myth        5-7-4-3  oil         6-1-3-1  patient     6-3-1-3  portion
5-5-6-2  naive       5-7-4-4  okay        6-1-3-2  patrol      6-3-1-4  position
5-5-6-3  name        5-7-5-1  old         6-1-3-3  pattern     6-3-2-1  possible
5-5-6-4  napkin      5-7-5-2  olive       6-1-3-4  pause       6-3-2-2  post
5-5-7-1  narrow      5-7-5-3  olympic     6-1-4-1  pave        6-3-2-3  potato
5-5-7-2  nasty       5-7-5-4  omit        6-1-4-2  payment     6-3-2-4  pottery
5-5-7-3  nation      5-7-6-1  once        6-1-4-3  peace       6-3-3-1  poverty
5-5-7-4  nature      5-7-6-2  one         6-1-4-4  peanut      6-3-3-2  powder
5-5-8-1  near        5-7-6-3  onion       6-1-5-1  pear        6-3-3-3  power
5-5-8-2  neck        5-7-6-4  online      6-1-5-2  peasant     6-3-3-4  practice
5-5-8-3  need        5-7-7-1  only        6-1-5-3  pelican     6-3-4-1  praise
5-5-8-4  negative    5-7-7-2  open        6-1-5-4  pen         6-3-4-2  predict
5-6-1-1  neglect     5-7-7-3  opera       6-1-6-1  penalty     6-3-4-3  prefer
5-6-1-2  neither     5-7-7-4  opinion     6-1-6-2  pencil      6-3-4-4  prepare
5-6-1-3  nephew      5-7-8-1  oppose      6-1-6-3  people      6-3-5-1  present
5-6-1-4  nerve       5-7-8-2  option      6-1-6-4  pepper      6-3-5-2  pretty
5-6-2-1  nest        5-7-8-3  orange      6-1-7-1  perfect     6-3-5-3  prevent
5-6-2-2  net         5-7-8-4  orbit       6-1-7-2  permit      6-3-5-4  price
5-6-2-3  network     5-8-1-1  orchard     6-1-7-3  person      6-3-6-1  pride
5-6-2-4  neutral     5-8-1-2  order       6-1-7-4  pet         6-3-6-2  primary
5-6-3-1  never       5-8-1-3  ordinary    6-1-8-1  phone       6-3-6-3  print
5-6-3-2  news        5-8-1-4  organ       6-1-8-2  photo       6-3-6-4  priority
5-6-3-3  next        5-8-2-1  orient      6-1-8-3  phrase      6-3-7-1  prison
5-6-3-4  nice        5-8-2-2  original    6-1-8-4  physical    6-3-7-2  private
5-6-4-1  night       5-8-2-3  orphan      6-2-1-1  piano       6-3-7-3  prize
5-6-4-2  noble       5-8-2-4  ostrich     6-2-1-2  picnic      6-3-7-4  problem
5-6-4-3  noise       5-8-3-1  other       6-2-1-3  picture     6-3-8-1  process
5-6-4-4  nominee     5-8-3-2  outdoor     6-2-1-4  piece       6-3-8-2  produce
5-6-5-1  noodle      5-8-3-3  outer       6-2-2-1  pig         6-3-8-3  profit
5-6-5-2  normal      5-8-3-4  output      6-2-2-2  pigeon      6-3-8-4  program
5-6-5-3  north       5-8-4-1  outside     6-2-2-3  pill        6-4-1-1  project
5-6-5-4  nose        5-8-4-2  oval        6-2-2-4  pilot       6-4-1-2  promote
5-6-6-1  notable     5-8-4-3  oven        6-2-3-1  pink        6-4-1-3  proof
5-6-6-2  note        5-8-4-4  over        6-2-3-2  pioneer     6-4-1-4  property
5-6-6-3  nothing     5-8-5-1  own         6-2-3-3  pipe        6-4-2-1  prosper
5-6-6-4  notice      5-8-5-2  owner       6-2-3-4  pistol      6-4-2-2  protect
5-6-7-1  novel       5-8-5-3  oxygen      6-2-4-1  pitch       6-4-2-3  proud
5-6-7-2  now         5-8-5-4  oyster      6-2-4-2  pizza       6-4-2-4  provide
5-6-7-3  nuclear     5-8-6-1  ozone       6-2-4-3  place       6-4-3-1  public
5-6-7-4  number      5-8-6-2  pact        6-2-4-4  planet      6-4-3-2  pudding
5-6-8-1  nurse       5-8-6-3  paddle      6-2-5-1  plastic     6-4-3-3  pull
5-6-8-2  nut         5-8-6-4  page        6-2-5-2  plate       6-4-3-4  pulp
5-6-8-3  oak         5-8-7-1  pair        6-2-5-3  play        6-4-4-1  pulse
5-6-8-4  obey        5-8-7-2  palace      6-2-5-4  please      6-4-4-2  pumpkin
5-7-1-1  object      5-8-7-3  palm        6-2-6-1  pledge      6-4-4-3  punch
5-7-1-2  oblige      5-8-7-4  panda       6-2-6-2  pluck       6-4-4-4  pupil

BIP39 dice table -- throw d8 + d8 + d8 + d4, read left to right      page 7 of 9
2048 throws, one word each, no rerolls             this page: 6-4-5-1 .. 7-3-6-4
       *** NEVER enter a seed on an online device -- air-gapped only ***

6-4-5-1  puppy       6-6-3-3  relief      6-8-2-1  route       7-1-8-3  sense
6-4-5-2  purchase    6-6-3-4  rely        6-8-2-2  royal       7-1-8-4  sentence
6-4-5-3  purity      6-6-4-1  remain      6-8-2-3  rubber      7-2-1-1  series
6-4-5-4  purpose     6-6-4-2  remember    6-8-2-4  rude        7-2-1-2  service
6-4-6-1  purse       6-6-4-3  remind      6-8-3-1  rug         7-2-1-3  session
6-4-6-2  push        6-6-4-4  remove      6-8-3-2  rule        7-2-1-4  settle
6-4-6-3  put         6-6-5-1  render      6-8-3-3  run         7-2-2-1  setup
6-4-6-4  puzzle      6-6-5-2  renew       6-8-3-4  runway      7-2-2-2  seven
6-4-7-1  pyramid     6-6-5-3  rent        6-8-4-1  rural       7-2-2-3  shadow
6-4-7-2  quality     6-6-5-4  reopen      6-8-4-2  sad         7-2-2-4  shaft
6-4-7-3  quantum     6-6-6-1  repair      6-8-4-3  saddle      7-2-3-1  shallow
6-4-7-4  quarter     6-6-6-2  repeat      6-8-4-4  sadness     7-2-3-2  share
6-4-8-1  question    6-6-6-3  replace     6-8-5-1  safe        7-2-3-3  shed
6-4-8-2  quick       6-6-6-4  report      6-8-5-2  sail        7-2-3-4  shell
6-4-8-3  quit        6-6-7-1  require     6-8-5-3  salad       7-2-4-1  sheriff
6-4-8-4  quiz        6-6-7-2  rescue      6-8-5-4  salmon      7-2-4-2  shield
6-5-1-1  quote       6-6-7-3  resemble    6-8-6-1  salon       7-2-4-3  shift
6-5-1-2  rabbit      6-6-7-4  resist      6-8-6-2  salt        7-2-4-4  shine
6-5-1-3  raccoon     6-6-8-1  resource    6-8-6-3  salute      7-2-5-1  ship
6-5-1-4  race        6-6-8-2  response    6-8-6-4  same        7-2-5-2  shiver
6-5-2-1  rack        6-6-8-3  result      6-8-7-1  sample      7-2-5-3  shock
6-5-2-2  radar       6-6-8-4  retire      6-8-7-2  sand        7-2-5-4  shoe
6-5-2-3  radio       6-7-1-1  retreat     6-8-7-3  satisfy     7-2-6-1  shoot
6-5-2-4  rail        6-7-1-2  return      6-8-7-4  satoshi     7-2-6-2  shop
6-5-3-1  rain        6-7-1-3  reunion     6-8-8-1  sauce       7-2-6-3  short
6-5-3-2  raise       6-7-1-4  reveal      6-8-8-2  sausage     7-2-6-4  shoulder
6-5-3-3  rally       6-7-2-1  review      6-8-8-3  save        7-2-7-1  shove
6-5-3-4  ramp        6-7-2-2  reward      6-8-8-4  say         7-2-7-2  shrimp
6-5-4-1  ranch       6-7-2-3  rhythm      7-1-1-1  scale       7-2-7-3  shrug
6-5-4-2  random      6-7-2-4  rib         7-1-1-2  scan        7-2-7-4  shuffle
6-5-4-3  range       6-7-3-1  ribbon      7-1-1-3  scare       7-2-8-1  shy
6-5-4-4  rapid       6-7-3-2  rice        7-1-1-4  scatter     7-2-8-2  sibling
6-5-5-1  rare        6-7-3-3  rich        7-1-2-1  scene       7-2-8-3  sick
6-5-5-2  rate        6-7-3-4  ride        7-1-2-2  scheme      7-2-8-4  side
6-5-5-3  rather      6-7-4-1  ridge       7-1-2-3  school      7-3-1-1  siege
6-5-5-4  raven       6-7-4-2  rifle       7-1-2-4  science     7-3-1-2  sight
6-5-6-1  raw         6-7-4-3  right       7-1-3-1  scissors    7-3-1-3  sign
6-5-6-2  razor       6-7-4-4  rigid       7-1-3-2  scorpion    7-3-1-4  silent
6-5-6-3  ready       6-7-5-1  ring        7-1-3-3  scout       7-3-2-1  silk
6-5-6-4  real        6-7-5-2  riot        7-1-3-4  scrap       7-3-2-2  silly
6-5-7-1  reason      6-7-5-3  ripple      7-1-4-1  screen      7-3-2-3  silver
6-5-7-2  rebel       6-7-5-4  risk        7-1-4-2  script      7-3-2-4  similar
6-5-7-3  rebuild     6-7-6-1  ritual      7-1-4-3  scrub       7-3-3-1  simple
6-5-7-4  recall      6-7-6-2  rival       7-1-4-4  sea         7-3-3-2  since
6-5-8-1  receive     6-7-6-3  river       7-1-5-1  search      7-3-3-3  sing
6-5-8-2  recipe      6-7-6-4  road        7-1-5-2  season      7-3-3-4  siren
6-5-8-3  record      6-7-7-1  roast       7-1-5-3  seat        7-3-4-1  sister
6-5-8-4  recycle     6-7-7-2  robot       7-1-5-4  second      7-3-4-2  situate
6-6-1-1  reduce      6-7-7-3  robust      7-1-6-1  secret      7-3-4-3  six
6-6-1-2  reflect     6-7-7-4  rocket      7-1-6-2  section     7-3-4-4  size
6-6-1-3  reform      6-7-8-1  romance     7-1-6-3  security    7-3-5-1  skate
6-6-1-4  refuse      6-7-8-2  roof        7-1-6-4  seed        7-3-5-2  sketch
6-6-2-1  region      6-7-8-3  rookie      7-1-7-1  seek        7-3-5-3  ski
6-6-2-2  regret      6-7-8-4  room        7-1-7-2  segment     7-3-5-4  skill
6-6-2-3  regular     6-8-1-1  rose        7-1-7-3  select      7-3-6-1  skin
6-6-2-4  reject      6-8-1-2  rotate      7-1-7-4  sell        7-3-6-2  skirt
6-6-3-1  relax       6-8-1-3  rough       7-1-8-1  seminar     7-3-6-3  skull
6-6-3-2  release     6-8-1-4  round       7-1-8-2  senior      7-3-6-4  slab

BIP39 dice table -- throw d8 + d8 + d8 + d4, read left to right      page 8 of 9
2048 throws, one word each, no rerolls             this page: 7-3-7-1 .. 8-2-8-4
       *** NEVER enter a seed on an online device -- air-gapped only ***

7-3-7-1  slam        7-5-5-3  spoil       7-7-4-1  sunset      8-1-2-3  this
7-3-7-2  sleep       7-5-5-4  sponsor     7-7-4-2  super       8-1-2-4  thought
7-3-7-3  slender     7-5-6-1  spoon       7-7-4-3  supply      8-1-3-1  three
7-3-7-4  slice       7-5-6-2  sport       7-7-4-4  supreme     8-1-3-2  thrive
7-3-8-1  slide       7-5-6-3  spot        7-7-5-1  sure        8-1-3-3  throw
7-3-8-2  slight      7-5-6-4  spray       7-7-5-2  surface     8-1-3-4  thumb
7-3-8-3  slim        7-5-7-1  spread      7-7-5-3  surge       8-1-4-1  thunder
7-3-8-4  slogan      7-5-7-2  spring      7-7-5-4  surprise    8-1-4-2  ticket
7-4-1-1  slot        7-5-7-3  spy         7-7-6-1  surround    8-1-4-3  tide
7-4-1-2  slow        7-5-7-4  square      7-7-6-2  survey      8-1-4-4  tiger
7-4-1-3  slush       7-5-8-1  squeeze     7-7-6-3  suspect     8-1-5-1  tilt
7-4-1-4  small       7-5-8-2  squirrel    7-7-6-4  sustain     8-1-5-2  timber
7-4-2-1  smart       7-5-8-3  stable      7-7-7-1  swallow     8-1-5-3  time
7-4-2-2  smile       7-5-8-4  stadium     7-7-7-2  swamp       8-1-5-4  tiny
7-4-2-3  smoke       7-6-1-1  staff       7-7-7-3  swap        8-1-6-1  tip
7-4-2-4  smooth      7-6-1-2  stage       7-7-7-4  swarm       8-1-6-2  tired
7-4-3-1  snack       7-6-1-3  stairs      7-7-8-1  swear       8-1-6-3  tissue
7-4-3-2  snake       7-6-1-4  stamp       7-7-8-2  sweet       8-1-6-4  title
7-4-3-3  snap        7-6-2-1  stand       7-7-8-3  swift       8-1-7-1  toast
7-4-3-4  sniff       7-6-2-2  start       7-7-8-4  swim        8-1-7-2  tobacco
7-4-4-1  snow        7-6-2-3  state       7-8-1-1  swing       8-1-7-3  today
7-4-4-2  soap        7-6-2-4  stay        7-8-1-2  switch      8-1-7-4  toddler
7-4-4-3  soccer      7-6-3-1  steak       7-8-1-3  sword       8-1-8-1  toe
7-4-4-4  social      7-6-3-2  steel       7-8-1-4  symbol      8-1-8-2  together
7-4-5-1  sock        7-6-3-3  stem        7-8-2-1  symptom     8-1-8-3  toilet
7-4-5-2  soda        7-6-3-4  step        7-8-2-2  syrup       8-1-8-4  token
7-4-5-3  soft        7-6-4-1  stereo      7-8-2-3  system      8-2-1-1  tomato
7-4-5-4  solar       7-6-4-2  stick       7-8-2-4  table       8-2-1-2  tomorrow
7-4-6-1  soldier     7-6-4-3  still       7-8-3-1  tackle      8-2-1-3  tone
7-4-6-2  solid       7-6-4-4  sting       7-8-3-2  tag         8-2-1-4  tongue
7-4-6-3  solution    7-6-5-1  stock       7-8-3-3  tail        8-2-2-1  tonight
7-4-6-4  solve       7-6-5-2  stomach     7-8-3-4  talent      8-2-2-2  tool
7-4-7-1  someone     7-6-5-3  stone       7-8-4-1  talk        8-2-2-3  tooth
7-4-7-2  song        7-6-5-4  stool       7-8-4-2  tank        8-2-2-4  top
7-4-7-3  soon        7-6-6-1  story       7-8-4-3  tape        8-2-3-1  topic
7-4-7-4  sorry       7-6-6-2  stove       7-8-4-4  target      8-2-3-2  topple
7-4-8-1  sort        7-6-6-3  strategy    7-8-5-1  task        8-2-3-3  torch
7-4-8-2  soul        7-6-6-4  street      7-8-5-2  taste       8-2-3-4  tornado
7-4-8-3  sound       7-6-7-1  strike      7-8-5-3  tattoo      8-2-4-1  tortoise
7-4-8-4  soup        7-6-7-2  strong      7-8-5-4  taxi        8-2-4-2  toss
7-5-1-1  source      7-6-7-3  struggle    7-8-6-1  teach       8-2-4-3  total
7-5-1-2  south       7-6-7-4  student     7-8-6-2  team        8-2-4-4  tourist
7-5-1-3  space       7-6-8-1  stuff       7-8-6-3  tell        8-2-5-1  toward
7-5-1-4  spare       7-6-8-2  stumble     7-8-6-4  ten         8-2-5-2  tower
7-5-2-1  spatial     7-6-8-3  style       7-8-7-1  tenant      8-2-5-3  town
7-5-2-2  spawn       7-6-8-4  subject     7-8-7-2  tennis      8-2-5-4  toy
7-5-2-3  speak       7-7-1-1  submit      7-8-7-3  tent        8-2-6-1  track
7-5-2-4  special     7-7-1-2  subway      7-8-7-4  term        8-2-6-2  trade
7-5-3-1  speed       7-7-1-3  success     7-8-8-1  test        8-2-6-3  traffic
7-5-3-2  spell       7-7-1-4  such        7-8-8-2  text        8-2-6-4  tragic
7-5-3-3  spend       7-7-2-1  sudden      7-8-8-3  thank       8-2-7-1  train
7-5-3-4  sphere      7-7-2-2  suffer      7-8-8-4  that        8-2-7-2  transfer
7-5-4-1  spice       7-7-2-3  sugar       8-1-1-1  theme       8-2-7-3  trap
7-5-4-2  spider      7-7-2-4  suggest     8-1-1-2  then        8-2-7-4  trash
7-5-4-3  spike       7-7-3-1  suit        8-1-1-3  theory      8-2-8-1  travel
7-5-4-4  spin        7-7-3-2  summer      8-1-1-4  there       8-2-8-2  tray
7-5-5-1  spirit      7-7-3-3  sun         8-1-2-1  they        8-2-8-3  treat
7-5-5-2  split       7-7-3-4  sunny       8-1-2-2  thing       8-2-8-4  tree

BIP39 dice table -- throw d8 + d8 + d8 + d4, read left to right      page 9 of 9
2048 throws, one word each, no rerolls             this page: 8-3-1-1 .. 8-8-8-4
       *** NEVER enter a seed on an online device -- air-gapped only ***

8-3-1-1  trend       8-4-5-1  unlock      8-6-1-1  village     8-7-5-1  wheel
8-3-1-2  trial       8-4-5-2  until       8-6-1-2  vintage     8-7-5-2  when
8-3-1-3  tribe       8-4-5-3  unusual     8-6-1-3  violin      8-7-5-3  where
8-3-1-4  trick       8-4-5-4  unveil      8-6-1-4  virtual     8-7-5-4  whip
8-3-2-1  trigger     8-4-6-1  update      8-6-2-1  virus       8-7-6-1  whisper
8-3-2-2  trim        8-4-6-2  upgrade     8-6-2-2  visa        8-7-6-2  wide
8-3-2-3  trip        8-4-6-3  uphold      8-6-2-3  visit       8-7-6-3  width
8-3-2-4  trophy      8-4-6-4  upon        8-6-2-4  visual      8-7-6-4  wife
8-3-3-1  trouble     8-4-7-1  upper       8-6-3-1  vital       8-7-7-1  wild
8-3-3-2  truck       8-4-7-2  upset       8-6-3-2  vivid       8-7-7-2  will
8-3-3-3  true        8-4-7-3  urban       8-6-3-3  vocal       8-7-7-3  win
8-3-3-4  truly       8-4-7-4  urge        8-6-3-4  voice       8-7-7-4  window
8-3-4-1  trumpet     8-4-8-1  usage       8-6-4-1  void        8-7-8-1  wine
8-3-4-2  trust       8-4-8-2  use         8-6-4-2  volcano     8-7-8-2  wing
8-3-4-3  truth       8-4-8-3  used        8-6-4-3  volume      8-7-8-3  wink
8-3-4-4  try         8-4-8-4  useful      8-6-4-4  vote        8-7-8-4  winner
8-3-5-1  tube        8-5-1-1  useless     8-6-5-1  voyage      8-8-1-1  winter
8-3-5-2  tuition     8-5-1-2  usual       8-6-5-2  wage        8-8-1-2  wire
8-3-5-3  tumble      8-5-1-3  utility     8-6-5-3  wagon       8-8-1-3  wisdom
8-3-5-4  tuna        8-5-1-4  vacant      8-6-5-4  wait        8-8-1-4  wise
8-3-6-1  tunnel      8-5-2-1  vacuum      8-6-6-1  walk        8-8-2-1  wish
8-3-6-2  turkey      8-5-2-2  vague       8-6-6-2  wall        8-8-2-2  witness
8-3-6-3  turn        8-5-2-3  valid       8-6-6-3  walnut      8-8-2-3  wolf
8-3-6-4  turtle      8-5-2-4  valley      8-6-6-4  want        8-8-2-4  woman
8-3-7-1  twelve      8-5-3-1  valve       8-6-7-1  warfare     8-8-3-1  wonder
8-3-7-2  twenty      8-5-3-2  van         8-6-7-2  warm        8-8-3-2  wood
8-3-7-3  twice       8-5-3-3  vanish      8-6-7-3  warrior     8-8-3-3  wool
8-3-7-4  twin        8-5-3-4  vapor       8-6-7-4  wash        8-8-3-4  word
8-3-8-1  twist       8-5-4-1  various     8-6-8-1  wasp        8-8-4-1  work
8-3-8-2  two         8-5-4-2  vast        8-6-8-2  waste       8-8-4-2  world
8-3-8-3  type        8-5-4-3  vault       8-6-8-3  water       8-8-4-3  worry
8-3-8-4  typical     8-5-4-4  vehicle     8-6-8-4  wave        8-8-4-4  worth
8-4-1-1  ugly        8-5-5-1  velvet      8-7-1-1  way         8-8-5-1  wrap
8-4-1-2  umbrella    8-5-5-2  vendor      8-7-1-2  wealth      8-8-5-2  wreck
8-4-1-3  unable      8-5-5-3  venture     8-7-1-3  weapon      8-8-5-3  wrestle
8-4-1-4  unaware     8-5-5-4  venue       8-7-1-4  wear        8-8-5-4  wrist
8-4-2-1  uncle       8-5-6-1  verb        8-7-2-1  weasel      8-8-6-1  write
8-4-2-2  uncover     8-5-6-2  verify      8-7-2-2  weather     8-8-6-2  wrong
8-4-2-3  under       8-5-6-3  version     8-7-2-3  web         8-8-6-3  yard
8-4-2-4  undo        8-5-6-4  very        8-7-2-4  wedding     8-8-6-4  year
8-4-3-1  unfair      8-5-7-1  vessel      8-7-3-1  weekend     8-8-7-1  yellow
8-4-3-2  unfold      8-5-7-2  veteran     8-7-3-2  weird       8-8-7-2  you
8-4-3-3  unhappy     8-5-7-3  viable      8-7-3-3  welcome     8-8-7-3  young
8-4-3-4  uniform     8-5-7-4  vibrant     8-7-3-4  west        8-8-7-4  youth
8-4-4-1  unique      8-5-8-1  vicious     8-7-4-1  wet         8-8-8-1  zebra
8-4-4-2  unit        8-5-8-2  victory     8-7-4-2  whale       8-8-8-2  zero
8-4-4-3  universe    8-5-8-3  video       8-7-4-3  what        8-8-8-3  zone
8-4-4-4  unknown     8-5-8-4  view        8-7-4-4  wheat       8-8-8-4  zoo
