BIP39 dice table -- throw d8 + d16 + d16, read left to right         page 1 of 9
2048 throws, one word each, no rerolls                this page: 1-1-1 .. 1-15-8
       *** NEVER enter a seed on an online device -- air-gapped only ***

1-1-1    abandon     1-4-11   also        1-8-5    attend      1-11-15  beyond
6-8-11   quantum     6-12-5   repair      6-15-15  saddle      7-3-9    shallow
6-8-12   quarter     6-12-6   repeat      6-15-16  sadness     7-3-10   share
6-8-13   question    6-12-7   replace     6-16-1   safe        7-3-11   shed
6-8-14   quick       6-12-8   report      6-16-2   sail        7-3-12   shell
6-8-15   quit        6-12-9   require     6-16-3   salad       7-3-13   sheriff
6-8-16   quiz        6-12-10  rescue      6-16-4   salmon      7-3-14   shield
6-9-1    quote       6-12-11  resemble    6-16-5   salon       7-3-15   shift
6-9-2    rabbit      6-12-12  resist      6-16-6   salt        7-3-16   shine
6-9-3    raccoon     6-12-13  resource    6-16-7   salute      7-4-1    ship
6-9-4    race        6-12-14  response    6-16-8   same        7-4-2    shiver
6-9-5    rack        6-12-15  result      6-16-9   sample      7-4-3    shock
6-9-6    radar       6-12-16  retire      6-16-10  sand        7-4-4    shoe
6-9-7    radio       6-13-1   retreat     6-16-11  satisfy     7-4-5    shoot
6-9-8    rail        6-13-2   return      6-16-12  satoshi     7-4-6    shop
6-9-9    rain        6-13-3   reunion     6-16-13  sauce       7-4-7    short
6-9-10   raise       6-13-4   reveal      6-16-14  sausage     7-4-8    shoulder
6-9-11   rally       6-13-5   review      6-16-15  save        7-4-9    shove
6-9-12   ramp        6-13-6   reward      6-16-16  say         7-4-10   shrimp
6-9-13   ranch       6-13-7   rhythm      7-1-1    scale       7-4-11   shrug
6-9-14   random      6-13-8   rib         7-1-2    scan        7-4-12   shuffle
6-9-15   range       6-13-9   ribbon      7-1-3    scare       7-4-13   shy
6-9-16   rapid       6-13-10  rice        7-1-4    scatter     7-4-14   sibling
6-10-1   rare        6-13-11  rich        7-1-5    scene       7-4-15   sick
6-10-2   rate        6-13-12  ride        7-1-6    scheme      7-4-16   side
6-10-3   rather      6-13-13  ridge       7-1-7    school      7-5-1    siege
6-10-4   raven       6-13-14  rifle       7-1-8    science     7-5-2    sight
6-10-5   raw         6-13-15  right       7-1-9    scissors    7-5-3    sign
6-10-6   razor       6-13-16  rigid       7-1-10   scorpion    7-5-4    silent
6-10-7   ready       6-14-1   ring        7-1-11   scout       7-5-5    silk
6-10-8   real        6-14-2   riot        7-1-12   scrap       7-5-6    silly
6-10-9   reason      6-14-3   ripple      7-1-13   screen      7-5-7    silver
6-10-10  rebel       6-14-4   risk        7-1-14   script      7-5-8    similar
6-10-11  rebuild     6-14-5   ritual      7-1-15   scrub       7-5-9    simple
6-10-12  recall      6-14-6   rival       7-1-16   sea         7-5-10   since
6-10-13  receive     6-14-7   river       7-2-1    search      7-5-11   sing
6-10-14  recipe      6-14-8   road        7-2-2    season      7-5-12   siren
6-10-15  record      6-14-9   roast       7-2-3    seat        7-5-13   sister
6-10-16  recycle     6-14-10  robot       7-2-4    second      7-5-14   situate
6-11-1   reduce      6-14-11  robust      7-2-5    secret      7-5-15   six
6-11-2   reflect     6-14-12  rocket      7-2-6    section     7-5-16   size
6-11-3   reform      6-14-13  romance     7-2-7    security    7-6-1    skate
6-11-4   refuse      6-14-14  roof        7-2-8    seed        7-6-2    sketch
6-11-5   region      6-14-15  rookie      7-2-9    seek        7-6-3    ski
6-11-6   regret      6-14-16  room        7-2-10   segment     7-6-4    skill
6-11-7   regular     6-15-1   rose        7-2-11   select      7-6-5    skin
6-11-8   reject      6-15-2   rotate      7-2-12   sell        7-6-6    skirt
6-11-9   relax       6-15-3   rough       7-2-13   seminar     7-6-7    skull
6-11-10  release     6-15-4   round       7-2-14   senior      7-6-8    slab

BIP39 dice table -- throw d8 + d16 + d16, read left to right         page 8 of 9
2048 throws, one word each, no rerolls                this page: 7-6-9 .. 8-4-16
       *** NEVER enter a seed on an online device -- air-gapped only ***

7-6-9    slam        7-10-3   spoil       7-13-13  sunset      8-1-7    this
7-6-10   sleep       7-10-4   sponsor     7-13-14  super       8-1-8    thought
7-6-11   slender     7-10-5   spoon       7-13-15  supply      8-1-9    three
7-6-12   slice       7-10-6   sport       7-13-16  supreme     8-1-10   thrive
7-6-13   slide       7-10-7   spot        7-14-1   sure        8-1-11   throw
7-6-14   slight      7-10-8   spray       7-14-2   surface     8-1-12   thumb
7-6-15   slim        7-10-9   spread      7-14-3   surge       8-1-13   thunder
7-6-16   slogan      7-10-10  spring      7-14-4   surprise    8-1-14   ticket
7-7-1    slot        7-10-11  spy         7-14-5   surround    8-1-15   tide
7-7-2    slow        7-10-12  square      7-14-6   survey      8-1-16   tiger
7-7-3    slush       7-10-13  squeeze     7-14-7   suspect     8-2-1    tilt
7-7-4    small       7-10-14  squirrel    7-14-8   sustain     8-2-2    timber
7-7-5    smart       7-10-15  stable      7-14-9   swallow     8-2-3    time
7-7-6    smile       7-10-16  stadium     7-14-10  swamp       8-2-4    tiny
7-7-7    smoke       7-11-1   staff       7-14-11  swap        8-2-5    tip
7-7-8    smooth      7-11-2   stage       7-14-12  swarm       8-2-6    tired
7-7-9    snack       7-11-3   stairs      7-14-13  swear       8-2-7    tissue
7-7-10   snake       7-11-4   stamp       7-14-14  sweet       8-2-8    title
7-7-11   snap        7-11-5   stand       7-14-15  swift       8-2-9    toast
7-7-12   sniff       7-11-6   start       7-14-16  swim        8-2-10   tobacco
7-7-13   snow        7-11-7   state       7-15-1   swing       8-2-11   today
7-7-14   soap        7-11-8   stay        7-15-2   switch      8-2-12   toddler
7-7-15   soccer      7-11-9   steak       7-15-3   sword       8-2-13   toe
7-7-16   social      7-11-10  steel       7-15-4   symbol      8-2-14   together
7-8-1    sock        7-11-11  stem        7-15-5   symptom     8-2-15   toilet
7-8-2    soda        7-11-12  step        7-15-6   syrup       8-2-16   token
7-8-3    soft        7-11-13  stereo      7-15-7   system      8-3-1    tomato
7-8-4    solar       7-11-14  stick       7-15-8   table       8-3-2    tomorrow
7-8-5    soldier     7-11-15  still       7-15-9   tackle      8-3-3    tone
7-8-6    solid       7-11-16  sting       7-15-10  tag         8-3-4    tongue
7-8-7    solution    7-12-1   stock       7-15-11  tail        8-3-5    tonight
7-8-8    solve       7-12-2   stomach     7-15-12  talent      8-3-6    tool
7-8-9    someone     7-12-3   stone       7-15-13  talk        8-3-7    tooth
7-8-10   song        7-12-4   stool       7-15-14  tank        8-3-8    top
7-8-11   soon        7-12-5   story       7-15-15  tape        8-3-9    topic
7-8-12   sorry       7-12-6   stove       7-15-16  target      8-3-10   topple
7-8-13   sort        7-12-7   strategy    7-16-1   task        8-3-11   torch
7-8-14   soul        7-12-8   street      7-16-2   taste       8-3-12   tornado
7-8-15   sound       7-12-9   strike      7-16-3   tattoo      8-3-13   tortoise
7-8-16   soup        7-12-10  strong      7-16-4   taxi        8-3-14   toss
7-9-1    source      7-12-11  struggle    7-16-5   teach       8-3-15   total
7-9-2    south       7-12-12  student     7-16-6   team        8-3-16   tourist
7-9-3    space       7-12-13  stuff       7-16-7   tell        8-4-1    toward
7-9-4    spare       7-12-14  stumble     7-16-8   ten         8-4-2    tower
7-9-5    spatial     7-12-15  style       7-16-9   tenant      8-4-3    town
7-9-6    spawn       7-12-16  subject     7-16-10  tennis      8-4-4    toy
7-9-7    speak       7-13-1   submit      7-16-11  tent        8-4-5    track
7-9-8    special     7-13-2   subway      7-16-12  term        8-4-6    trade
7-9-9    speed       7-13-3   success     7-16-13  test        8-4-7    traffic
7-9-10   spell       7-13-4   such        7-16-14  text        8-4-8    tragic
7-9-11   spend       7-13-5   sudden      7-16-15  thank       8-4-9    train
7-9-12   sphere      7-13-6   suffer      7-16-16  that        8-4-10   transfer
7-9-13   spice       7-13-7   sugar       8-1-1    theme       8-4-11   trap
7-9-14   spider      7-13-8   suggest     8-1-2    then        8-4-12   trash
7-9-15   spike       7-13-9   suit        8-1-3    theory      8-4-13   travel
7-9-16   spin        7-13-10  summer      8-1-4    there       8-4-14   tray
7-10-1   spirit      7-13-11  sun         8-1-5    they        8-4-15   treat
7-10-2   split       7-13-12  sunny       8-1-6    thing       8-4-16   tree

BIP39 dice table -- throw d8 + d16 + d16, read left to right         page 9 of 9
2048 throws, one word each, no rerolls               this page: 8-5-1 .. 8-16-16
       *** NEVER enter a seed on an online device -- air-gapped only ***

8-5-1    trend       8-8-1    unlock      8-11-1   village     8-14-1   wheel
8-5-2    trial       8-8-2    until       8-11-2   vintage     8-14-2   when
8-5-3    tribe       8-8-3    unusual     8-11-3   violin      8-14-3   where
8-5-4    trick       8-8-4    unveil      8-11-4   virtual     8-14-4   whip
8-5-5    trigger     8-8-5    update      8-11-5   virus       8-14-5   whisper
8-5-6    trim        8-8-6    upgrade     8-11-6   visa        8-14-6   wide
8-5-7    trip        8-8-7    uphold      8-11-7   visit       8-14-7   width
8-5-8    trophy      8-8-8    upon        8-11-8   visual      8-14-8   wife
8-5-9    trouble     8-8-9    upper       8-11-9   vital       8-14-9   wild
8-5-10   truck       8-8-10   upset       8-11-10  vivid       8-14-10  will
8-5-11   true        8-8-11   urban       8-11-11  vocal       8-14-11  win
8-5-12   truly       8-8-12   urge        8-11-12  voice       8-14-12  window
8-5-13   trumpet     8-8-13   usage       8-11-13  void        8-14-13  wine
8-5-14   trust       8-8-14   use         8-11-14  volcano     8-14-14  wing
8-5-15   truth       8-8-15   used        8-11-15  volume      8-14-15  wink
8-5-16   try         8-8-16   useful      8-11-16  vote        8-14-16  winner
8-6-1    tube        8-9-1    useless     8-12-1   voyage      8-15-1   winter
8-6-2    tuition     8-9-2    usual       8-12-2   wage        8-15-2   wire
8-6-3    tumble      8-9-3    utility     8-12-3   wagon       8-15-3   wisdom
8-6-4    tuna        8-9-4    vacant      8-12-4   wait        8-15-4   wise
8-6-5    tunnel      8-9-5    vacuum      8-12-5   walk        8-15-5   wish
8-6-6    turkey      8-9-6    vague       8-12-6   wall        8-15-6   witness
8-6-7    turn        8-9-7    valid       8-12-7   walnut      8-15-7   wolf
8-6-8    turtle      8-9-8    valley      8-12-8   want        8-15-8   woman
8-6-9    twelve      8-9-9    valve       8-12-9   warfare     8-15-9   wonder
8-6-10   twenty      8-9-10   van         8-12-10  warm        8-15-10  wood
8-6-11   twice       8-9-11   vanish      8-12-11  warrior     8-15-11  wool
8-6-12   twin        8-9-12   vapor       8-12-12  wash        8-15-12  word
8-6-13   twist       8-9-13   various     8-12-13  wasp        8-15-13  work
8-6-14   two         8-9-14   vast        8-12-14  waste       8-15-14  world
8-6-15   type        8-9-15   vault       8-12-15  water       8-15-15  worry
8-6-16   typical     8-9-16   vehicle     8-12-16  wave        8-15-16  worth
8-7-1    ugly        8-10-1   velvet      8-13-1   way         8-16-1   wrap
8-7-2    umbrella    8-10-2   vendor      8-13-2   wealth      8-16-2   wreck
8-7-3    unable      8-10-3   venture     8-13-3   weapon      8-16-3   wrestle
8-7-4    unaware     8-10-4   venue       8-13-4   wear        8-16-4   wrist
8-7-5    uncle       8-10-5   verb        8-13-5   weasel      8-16-5   write
8-7-6    uncover     8-10-6   verify      8-13-6   weather     8-16-6   wrong
8-7-7    under       8-10-7   version     8-13-7   web         8-16-7   yard
8-7-8    undo        8-10-8   very        8-13-8   wedding     8-16-8   year
8-7-9    unfair      8-10-9   vessel      8-13-9   weekend     8-16-9   yellow
8-7-10   unfold      8-10-10  veteran     8-13-10  weird       8-16-10  you
8-7-11   unhappy     8-10-11  viable      8-13-11  welcome     8-16-11  young
8-7-12   uniform     8-10-12  vibrant     8-13-12  west        8-16-12  youth
8-7-13   unique      8-10-13  vicious     8-13-13  wet         8-16-13  zebra
8-7-14   unit        8-10-14  victory     8-13-14  whale       8-16-14  zero
8-7-15   universe    8-10-15  video       8-13-15  what        8-16-15  zone
8-7-16   unknown     8-10-16  view        8-13-16  wheat       8-16-16  zoo
