BIP39 dice table -- throw 5d6, read left to right    page 1 of 45
1632 of 7776 throws say (reroll)  this page: 1-1-1-1-1 .. 1-1-5-5-6

1-1-1-1-1  abandon     1-1-2-4-5  also        1-1-4-2-3  attend
1-5-2-4-2  indicate    1-5-4-1-6  kick        1-5-5-5-4  lift
1-5-2-4-3  indoor      1-5-4-2-1  kid         1-5-5-5-5  light
1-5-2-4-4  industry    1-5-4-2-2  kidney      1-5-5-5-6  like
1-5-2-4-5  infant      1-5-4-2-3  kind        1-5-5-6-1  limb
1-5-2-4-6  inflict     1-5-4-2-4  kingdom     1-5-5-6-2  limit
1-5-2-5-1  inform      1-5-4-2-5  kiss        1-5-5-6-3  link
1-5-2-5-2  inhale      1-5-4-2-6  kit         1-5-5-6-4  lion
1-5-2-5-3  inherit     1-5-4-3-1  kitchen     1-5-5-6-5  liquid
1-5-2-5-4  initial     1-5-4-3-2  kite        1-5-5-6-6  list

BIP39 dice table -- throw 5d6, read left to right    page 7 of 45
1632 of 7776 throws say (reroll)  this page: 1-5-6-1-1 .. 1-6-4-5-6

1-5-6-1-1  little      1-6-1-4-5  mean        1-6-3-2-3  much
1-5-6-1-2  live        1-6-1-4-6  measure     1-6-3-2-4  muffin
1-5-6-1-3  lizard      1-6-1-5-1  meat        1-6-3-2-5  mule
1-5-6-1-4  load        1-6-1-5-2  mechanic    1-6-3-2-6  multiply
1-5-6-1-5  loan        1-6-1-5-3  medal       1-6-3-3-1  muscle
1-5-6-1-6  lobster     1-6-1-5-4  media       1-6-3-3-2  museum
1-5-6-2-1  local       1-6-1-5-5  melody      1-6-3-3-3  mushroom
1-5-6-2-2  lock        1-6-1-5-6  melt        1-6-3-3-4  music
1-5-6-2-3  logic       1-6-1-6-1  member      1-6-3-3-5  must
1-5-6-2-4  lonely      1-6-1-6-2  memory      1-6-3-3-6  mutual
1-5-6-2-5  long        1-6-1-6-3  mention     1-6-3-4-1  myself
1-5-6-2-6  loop        1-6-1-6-4  menu        1-6-3-4-2  mystery
1-5-6-3-1  lottery     1-6-1-6-5  mercy       1-6-3-4-3  myth
1-5-6-3-2  loud        1-6-1-6-6  merge       1-6-3-4-4  naive
1-5-6-3-3  lounge      1-6-2-1-1  merit       1-6-3-4-5  name
1-5-6-3-4  love        1-6-2-1-2  merry       1-6-3-4-6  napkin
1-5-6-3-5  loyal       1-6-2-1-3  mesh        1-6-3-5-1  narrow
1-5-6-3-6  lucky       1-6-2-1-4  message     1-6-3-5-2  nasty
1-5-6-4-1  luggage     1-6-2-1-5  metal       1-6-3-5-3  nation
1-5-6-4-2  lumber      1-6-2-1-6  method      1-6-3-5-4  nature
1-5-6-4-3  lunar       1-6-2-2-1  middle      1-6-3-5-5  near
1-5-6-4-4  lunch       1-6-2-2-2  midnight    1-6-3-5-6  neck
1-5-6-4-5  luxury      1-6-2-2-3  milk        1-6-3-6-1  need
1-5-6-4-6  lyrics      1-6-2-2-4  million     1-6-3-6-2  negative
1-5-6-5-1  machine     1-6-2-2-5  mimic       1-6-3-6-3  neglect
1-5-6-5-2  mad         1-6-2-2-6  mind        1-6-3-6-4  neither
1-5-6-5-3  magic       1-6-2-3-1  minimum     1-6-3-6-5  nephew
1-5-6-5-4  magnet      1-6-2-3-2  minor       1-6-3-6-6  nerve
1-5-6-5-5  maid        1-6-2-3-3  minute      1-6-4-1-1  nest
1-5-6-5-6  mail        1-6-2-3-4  miracle     1-6-4-1-2  net
1-5-6-6-1  main        1-6-2-3-5  mirror      1-6-4-1-3  network
1-5-6-6-2  major       1-6-2-3-6  misery      1-6-4-1-4  neutral
1-5-6-6-3  make        1-6-2-4-1  miss        1-6-4-1-5  never
1-5-6-6-4  mammal      1-6-2-4-2  mistake     1-6-4-1-6  news
1-5-6-6-5  man         1-6-2-4-3  mix         1-6-4-2-1  next
1-5-6-6-6  manage      1-6-2-4-4  mixed       1-6-4-2-2  nice
1-6-1-1-1  mandate     1-6-2-4-5  mixture     1-6-4-2-3  night
1-6-1-1-2  mango       1-6-2-4-6  mobile      1-6-4-2-4  noble
1-6-1-1-3  mansion     1-6-2-5-1  model       1-6-4-2-5  noise
1-6-1-1-4  manual      1-6-2-5-2  modify      1-6-4-2-6  nominee
1-6-1-1-5  maple       1-6-2-5-3  mom         1-6-4-3-1  noodle
1-6-1-1-6  marble      1-6-2-5-4  moment      1-6-4-3-2  normal
1-6-1-2-1  march       1-6-2-5-5  monitor     1-6-4-3-3  north
1-6-1-2-2  margin      1-6-2-5-6  monkey      1-6-4-3-4  nose
1-6-1-2-3  marine      1-6-2-6-1  monster     1-6-4-3-5  notable
1-6-1-2-4  market      1-6-2-6-2  month       1-6-4-3-6  note
1-6-1-2-5  marriage    1-6-2-6-3  moon        1-6-4-4-1  nothing
1-6-1-2-6  mask        1-6-2-6-4  moral       1-6-4-4-2  notice
1-6-1-3-1  mass        1-6-2-6-5  more        1-6-4-4-3  novel
1-6-1-3-2  master      1-6-2-6-6  morning     1-6-4-4-4  now
1-6-1-3-3  match       1-6-3-1-1  mosquito    1-6-4-4-5  nuclear
1-6-1-3-4  material    1-6-3-1-2  mother      1-6-4-4-6  number
1-6-1-3-5  math        1-6-3-1-3  motion      1-6-4-5-1  nurse
1-6-1-3-6  matrix      1-6-3-1-4  motor       1-6-4-5-2  nut
1-6-1-4-1  matter      1-6-3-1-5  mountain    1-6-4-5-3  oak
1-6-1-4-2  maximum     1-6-3-1-6  mouse       1-6-4-5-4  obey
1-6-1-4-3  maze        1-6-3-2-1  move        1-6-4-5-5  object
1-6-1-4-4  meadow      1-6-3-2-2  movie       1-6-4-5-6  oblige

BIP39 dice table -- throw 5d6, read left to right    page 8 of 45
1632 of 7776 throws say (reroll)  this page: 1-6-4-6-1 .. 2-1-3-4-6

1-6-4-6-1  obscure     1-6-6-3-5  panel       2-1-2-1-3  plug
1-6-4-6-2  observe     1-6-6-3-6  panic       2-1-2-1-4  plunge
1-6-4-6-3  obtain      1-6-6-4-1  panther     2-1-2-1-5  poem
1-6-4-6-4  obvious     1-6-6-4-2  paper       2-1-2-1-6  poet
1-6-4-6-5  occur       1-6-6-4-3  parade      2-1-2-2-1  point
1-6-4-6-6  ocean       1-6-6-4-4  parent      2-1-2-2-2  polar
1-6-5-1-1  october     1-6-6-4-5  park        2-1-2-2-3  pole
1-6-5-1-2  odor        1-6-6-4-6  parrot      2-1-2-2-4  police
1-6-5-1-3  off         1-6-6-5-1  party       2-1-2-2-5  pond
1-6-5-1-4  offer       1-6-6-5-2  pass        2-1-2-2-6  pony
1-6-5-1-5  office      1-6-6-5-3  patch       2-1-2-3-1  pool
1-6-5-1-6  often       1-6-6-5-4  path        2-1-2-3-2  popular
1-6-5-2-1  oil         1-6-6-5-5  patient     2-1-2-3-3  portion
1-6-5-2-2  okay        1-6-6-5-6  patrol      2-1-2-3-4  position
1-6-5-2-3  old         1-6-6-6-1  pattern     2-1-2-3-5  possible
1-6-5-2-4  olive       1-6-6-6-2  pause       2-1-2-3-6  post
1-6-5-2-5  olympic     1-6-6-6-3  pave        2-1-2-4-1  potato
1-6-5-2-6  omit        1-6-6-6-4  payment     2-1-2-4-2  pottery
1-6-5-3-1  once        1-6-6-6-5  peace       2-1-2-4-3  poverty
1-6-5-3-2  one         1-6-6-6-6  peanut      2-1-2-4-4  powder
1-6-5-3-3  onion       2-1-1-1-1  pear        2-1-2-4-5  power
1-6-5-3-4  online      2-1-1-1-2  peasant     2-1-2-4-6  practice
1-6-5-3-5  only        2-1-1-1-3  pelican     2-1-2-5-1  praise
1-6-5-3-6  open        2-1-1-1-4  pen         2-1-2-5-2  predict
1-6-5-4-1  opera       2-1-1-1-5  penalty     2-1-2-5-3  prefer
1-6-5-4-2  opinion     2-1-1-1-6  pencil      2-1-2-5-4  prepare
1-6-5-4-3  oppose      2-1-1-2-1  people      2-1-2-5-5  present
1-6-5-4-4  option      2-1-1-2-2  pepper      2-1-2-5-6  pretty
1-6-5-4-5  orange      2-1-1-2-3  perfect     2-1-2-6-1  prevent
1-6-5-4-6  orbit       2-1-1-2-4  permit      2-1-2-6-2  price
1-6-5-5-1  orchard     2-1-1-2-5  person      2-1-2-6-3  pride
1-6-5-5-2  order       2-1-1-2-6  pet         2-1-2-6-4  primary
1-6-5-5-3  ordinary    2-1-1-3-1  phone       2-1-2-6-5  print
1-6-5-5-4  organ       2-1-1-3-2  photo       2-1-2-6-6  priority
1-6-5-5-5  orient      2-1-1-3-3  phrase      2-1-3-1-1  prison
1-6-5-5-6  original    2-1-1-3-4  physical    2-1-3-1-2  private
1-6-5-6-1  orphan      2-1-1-3-5  piano       2-1-3-1-3  prize
1-6-5-6-2  ostrich     2-1-1-3-6  picnic      2-1-3-1-4  problem
1-6-5-6-3  other       2-1-1-4-1  picture     2-1-3-1-5  process
1-6-5-6-4  outdoor     2-1-1-4-2  piece       2-1-3-1-6  produce
1-6-5-6-5  outer       2-1-1-4-3  pig         2-1-3-2-1  profit
1-6-5-6-6  output      2-1-1-4-4  pigeon      2-1-3-2-2  program
1-6-6-1-1  outside     2-1-1-4-5  pill        2-1-3-2-3  project
1-6-6-1-2  oval        2-1-1-4-6  pilot       2-1-3-2-4  promote
1-6-6-1-3  oven        2-1-1-5-1  pink        2-1-3-2-5  proof
1-6-6-1-4  over        2-1-1-5-2  pioneer     2-1-3-2-6  property
1-6-6-1-5  own         2-1-1-5-3  pipe        2-1-3-3-1  prosper
1-6-6-1-6  owner       2-1-1-5-4  pistol      2-1-3-3-2  protect
1-6-6-2-1  oxygen      2-1-1-5-5  pitch       2-1-3-3-3  proud
1-6-6-2-2  oyster      2-1-1-5-6  pizza       2-1-3-3-4  provide
1-6-6-2-3  ozone       2-1-1-6-1  place       2-1-3-3-5  public
1-6-6-2-4  pact        2-1-1-6-2  planet      2-1-3-3-6  pudding
1-6-6-2-5  paddle      2-1-1-6-3  plastic     2-1-3-4-1  pull
1-6-6-2-6  page        2-1-1-6-4  plate       2-1-3-4-2  pulp
1-6-6-3-1  pair        2-1-1-6-5  play        2-1-3-4-3  pulse
1-6-6-3-2  palace      2-1-1-6-6  please      2-1-3-4-4  pumpkin
1-6-6-3-3  palm        2-1-2-1-1  pledge      2-1-3-4-5  punch
1-6-6-3-4  panda       2-1-2-1-2  pluck       2-1-3-4-6  pupil

BIP39 dice table -- throw 5d6, read left to right    page 9 of 45
1632 of 7776 throws say (reroll)  this page: 2-1-3-5-1 .. 2-2-2-3-6

2-1-3-5-1  puppy       2-1-5-2-5  relief      2-1-6-6-3  route
2-1-3-5-2  purchase    2-1-5-2-6  rely        2-1-6-6-4  royal
2-1-3-5-3  purity      2-1-5-3-1  remain      2-1-6-6-5  rubber
2-1-3-5-4  purpose     2-1-5-3-2  remember    2-1-6-6-6  rude
2-1-3-5-5  purse       2-1-5-3-3  remind      2-2-1-1-1  rug
2-1-3-5-6  push        2-1-5-3-4  remove      2-2-1-1-2  rule
2-1-3-6-1  put         2-1-5-3-5  render      2-2-1-1-3  run
2-1-3-6-2  puzzle      2-1-5-3-6  renew       2-2-1-1-4  runway
2-1-3-6-3  pyramid     2-1-5-4-1  rent        2-2-1-1-5  rural
2-1-3-6-4  quality     2-1-5-4-2  reopen      2-2-1-1-6  sad
2-1-3-6-5  quantum     2-1-5-4-3  repair      2-2-1-2-1  saddle
2-1-3-6-6  quarter     2-1-5-4-4  repeat      2-2-1-2-2  sadness
2-1-4-1-1  question    2-1-5-4-5  replace     2-2-1-2-3  safe
2-1-4-1-2  quick       2-1-5-4-6  report      2-2-1-2-4  sail
2-1-4-1-3  quit        2-1-5-5-1  require     2-2-1-2-5  salad
2-1-4-1-4  quiz        2-1-5-5-2  rescue      2-2-1-2-6  salmon
2-1-4-1-5  quote       2-1-5-5-3  resemble    2-2-1-3-1  salon
2-1-4-1-6  rabbit      2-1-5-5-4  resist      2-2-1-3-2  salt
2-1-4-2-1  raccoon     2-1-5-5-5  resource    2-2-1-3-3  salute
2-1-4-2-2  race        2-1-5-5-6  response    2-2-1-3-4  same
2-1-4-2-3  rack        2-1-5-6-1  result      2-2-1-3-5  sample
2-1-4-2-4  radar       2-1-5-6-2  retire      2-2-1-3-6  sand
2-1-4-2-5  radio       2-1-5-6-3  retreat     2-2-1-4-1  satisfy
2-1-4-2-6  rail        2-1-5-6-4  return      2-2-1-4-2  satoshi
2-1-4-3-1  rain        2-1-5-6-5  reunion     2-2-1-4-3  sauce
2-1-4-3-2  raise       2-1-5-6-6  reveal      2-2-1-4-4  sausage
2-1-4-3-3  rally       2-1-6-1-1  review      2-2-1-4-5  save
2-1-4-3-4  ramp        2-1-6-1-2  reward      2-2-1-4-6  say
2-1-4-3-5  ranch       2-1-6-1-3  rhythm      2-2-1-5-1  scale
2-1-4-3-6  random      2-1-6-1-4  rib         2-2-1-5-2  scan
2-1-4-4-1  range       2-1-6-1-5  ribbon      2-2-1-5-3  scare
2-1-4-4-2  rapid       2-1-6-1-6  rice        2-2-1-5-4  scatter
2-1-4-4-3  rare        2-1-6-2-1  rich        2-2-1-5-5  scene
2-1-4-4-4  rate        2-1-6-2-2  ride        2-2-1-5-6  scheme
2-1-4-4-5  rather      2-1-6-2-3  ridge       2-2-1-6-1  school
2-1-4-4-6  raven       2-1-6-2-4  rifle       2-2-1-6-2  science
2-1-4-5-1  raw         2-1-6-2-5  right       2-2-1-6-3  scissors
2-1-4-5-2  razor       2-1-6-2-6  rigid       2-2-1-6-4  scorpion
2-1-4-5-3  ready       2-1-6-3-1  ring        2-2-1-6-5  scout
2-1-4-5-4  real        2-1-6-3-2  riot        2-2-1-6-6  scrap
2-1-4-5-5  reason      2-1-6-3-3  ripple      2-2-2-1-1  screen
2-1-4-5-6  rebel       2-1-6-3-4  risk        2-2-2-1-2  script
2-1-4-6-1  rebuild     2-1-6-3-5  ritual      2-2-2-1-3  scrub
2-1-4-6-2  recall      2-1-6-3-6  rival       2-2-2-1-4  sea
2-1-4-6-3  receive     2-1-6-4-1  river       2-2-2-1-5  search
2-1-4-6-4  recipe      2-1-6-4-2  road        2-2-2-1-6  season
2-1-4-6-5  record      2-1-6-4-3  roast       2-2-2-2-1  seat
2-1-4-6-6  recycle     2-1-6-4-4  robot       2-2-2-2-2  second
2-1-5-1-1  reduce      2-1-6-4-5  robust      2-2-2-2-3  secret
2-1-5-1-2  reflect     2-1-6-4-6  rocket      2-2-2-2-4  section
2-1-5-1-3  reform      2-1-6-5-1  romance     2-2-2-2-5  security
2-1-5-1-4  refuse      2-1-6-5-2  roof        2-2-2-2-6  seed
2-1-5-1-5  region      2-1-6-5-3  rookie      2-2-2-3-1  seek
2-1-5-1-6  regret      2-1-6-5-4  room        2-2-2-3-2  segment
2-1-5-2-1  regular     2-1-6-5-5  rose        2-2-2-3-3  select
2-1-5-2-2  reject      2-1-6-5-6  rotate      2-2-2-3-4  sell
2-1-5-2-3  relax       2-1-6-6-1  rough       2-2-2-3-5  seminar
2-1-5-2-4  release     2-1-6-6-2  round       2-2-2-3-6  senior

BIP39 dice table -- throw 5d6, read left to right   page 10 of 45
1632 of 7776 throws say (reroll)  this page: 2-2-2-4-1 .. 2-3-1-2-6

2-2-2-4-1  sense       2-2-4-1-5  slam        2-2-5-5-3  spoil
2-2-2-4-2  sentence    2-2-4-1-6  sleep       2-2-5-5-4  sponsor
2-2-2-4-3  series      2-2-4-2-1  slender     2-2-5-5-5  spoon
2-2-2-4-4  service     2-2-4-2-2  slice       2-2-5-5-6  sport
2-2-2-4-5  session     2-2-4-2-3  slide       2-2-5-6-1  spot
2-2-2-4-6  settle      2-2-4-2-4  slight      2-2-5-6-2  spray
2-2-2-5-1  setup       2-2-4-2-5  slim        2-2-5-6-3  spread
2-2-2-5-2  seven       2-2-4-2-6  slogan      2-2-5-6-4  spring
2-2-2-5-3  shadow      2-2-4-3-1  slot        2-2-5-6-5  spy
2-2-2-5-4  shaft       2-2-4-3-2  slow        2-2-5-6-6  square
2-2-2-5-5  shallow     2-2-4-3-3  slush       2-2-6-1-1  squeeze
2-2-2-5-6  share       2-2-4-3-4  small       2-2-6-1-2  squirrel
2-2-2-6-1  shed        2-2-4-3-5  smart       2-2-6-1-3  stable
2-2-2-6-2  shell       2-2-4-3-6  smile       2-2-6-1-4  stadium
2-2-2-6-3  sheriff     2-2-4-4-1  smoke       2-2-6-1-5  staff
2-2-2-6-4  shield      2-2-4-4-2  smooth      2-2-6-1-6  stage
2-2-2-6-5  shift       2-2-4-4-3  snack       2-2-6-2-1  stairs
2-2-2-6-6  shine       2-2-4-4-4  snake       2-2-6-2-2  stamp
2-2-3-1-1  ship        2-2-4-4-5  snap        2-2-6-2-3  stand
2-2-3-1-2  shiver      2-2-4-4-6  sniff       2-2-6-2-4  start
2-2-3-1-3  shock       2-2-4-5-1  snow        2-2-6-2-5  state
2-2-3-1-4  shoe        2-2-4-5-2  soap        2-2-6-2-6  stay
2-2-3-1-5  shoot       2-2-4-5-3  soccer      2-2-6-3-1  steak
2-2-3-1-6  shop        2-2-4-5-4  social      2-2-6-3-2  steel
2-2-3-2-1  short       2-2-4-5-5  sock        2-2-6-3-3  stem
2-2-3-2-2  shoulder    2-2-4-5-6  soda        2-2-6-3-4  step
2-2-3-2-3  shove       2-2-4-6-1  soft        2-2-6-3-5  stereo
2-2-3-2-4  shrimp      2-2-4-6-2  solar       2-2-6-3-6  stick
2-2-3-2-5  shrug       2-2-4-6-3  soldier     2-2-6-4-1  still
2-2-3-2-6  shuffle     2-2-4-6-4  solid       2-2-6-4-2  sting
2-2-3-3-1  shy         2-2-4-6-5  solution    2-2-6-4-3  stock
2-2-3-3-2  sibling     2-2-4-6-6  solve       2-2-6-4-4  stomach
2-2-3-3-3  sick        2-2-5-1-1  someone     2-2-6-4-5  stone
2-2-3-3-4  side        2-2-5-1-2  song        2-2-6-4-6  stool
2-2-3-3-5  siege       2-2-5-1-3  soon        2-2-6-5-1  story
2-2-3-3-6  sight       2-2-5-1-4  sorry       2-2-6-5-2  stove
2-2-3-4-1  sign        2-2-5-1-5  sort        2-2-6-5-3  strategy
2-2-3-4-2  silent      2-2-5-1-6  soul        2-2-6-5-4  street
2-2-3-4-3  silk        2-2-5-2-1  sound       2-2-6-5-5  strike
2-2-3-4-4  silly       2-2-5-2-2  soup        2-2-6-5-6  strong
2-2-3-4-5  silver      2-2-5-2-3  source      2-2-6-6-1  struggle
2-2-3-4-6  similar     2-2-5-2-4  south       2-2-6-6-2  student
2-2-3-5-1  simple      2-2-5-2-5  space       2-2-6-6-3  stuff
2-2-3-5-2  since       2-2-5-2-6  spare       2-2-6-6-4  stumble
2-2-3-5-3  sing        2-2-5-3-1  spatial     2-2-6-6-5  style
2-2-3-5-4  siren       2-2-5-3-2  spawn       2-2-6-6-6  subject
2-2-3-5-5  sister      2-2-5-3-3  speak       2-3-1-1-1  submit
2-2-3-5-6  situate     2-2-5-3-4  special     2-3-1-1-2  subway
2-2-3-6-1  six         2-2-5-3-5  speed       2-3-1-1-3  success
2-2-3-6-2  size        2-2-5-3-6  spell       2-3-1-1-4  such
2-2-3-6-3  skate       2-2-5-4-1  spend       2-3-1-1-5  sudden
2-2-3-6-4  sketch      2-2-5-4-2  sphere      2-3-1-1-6  suffer
2-2-3-6-5  ski         2-2-5-4-3  spice       2-3-1-2-1  sugar
2-2-3-6-6  skill       2-2-5-4-4  spider      2-3-1-2-2  suggest
2-2-4-1-1  skin        2-2-5-4-5  spike       2-3-1-2-3  suit
2-2-4-1-2  skirt       2-2-5-4-6  spin        2-3-1-2-4  summer
2-2-4-1-3  skull       2-2-5-5-1  spirit      2-3-1-2-5  sun
2-2-4-1-4  slab        2-2-5-5-2  split       2-3-1-2-6  sunny

BIP39 dice table -- throw 5d6, read left to right   page 11 of 45
1632 of 7776 throws say (reroll)  this page: 2-3-1-3-1 .. 2-3-6-1-6

2-3-1-3-1  sunset      2-3-2-6-5  this        2-3-4-4-3  trend
2-3-1-3-2  super       2-3-2-6-6  thought     2-3-4-4-4  trial
2-3-1-3-3  supply      2-3-3-1-1  three       2-3-4-4-5  tribe
2-3-1-3-4  supreme     2-3-3-1-2  thrive      2-3-4-4-6  trick
2-3-1-3-5  sure        2-3-3-1-3  throw       2-3-4-5-1  trigger
2-3-1-3-6  surface     2-3-3-1-4  thumb       2-3-4-5-2  trim
2-3-1-4-1  surge       2-3-3-1-5  thunder     2-3-4-5-3  trip
2-3-1-4-2  surprise    2-3-3-1-6  ticket      2-3-4-5-4  trophy
2-3-1-4-3  surround    2-3-3-2-1  tide        2-3-4-5-5  trouble
2-3-1-4-4  survey      2-3-3-2-2  tiger       2-3-4-5-6  truck
2-3-1-4-5  suspect     2-3-3-2-3  tilt        2-3-4-6-1  true
2-3-1-4-6  sustain     2-3-3-2-4  timber      2-3-4-6-2  truly
2-3-1-5-1  swallow     2-3-3-2-5  time        2-3-4-6-3  trumpet
2-3-1-5-2  swamp       2-3-3-2-6  tiny        2-3-4-6-4  trust
2-3-1-5-3  swap        2-3-3-3-1  tip         2-3-4-6-5  truth
2-3-1-5-4  swarm       2-3-3-3-2  tired       2-3-4-6-6  try
2-3-1-5-5  swear       2-3-3-3-3  tissue      2-3-5-1-1  tube
2-3-1-5-6  sweet       2-3-3-3-4  title       2-3-5-1-2  tuition
2-3-1-6-1  swift       2-3-3-3-5  toast       2-3-5-1-3  tumble
2-3-1-6-2  swim        2-3-3-3-6  tobacco     2-3-5-1-4  tuna
2-3-1-6-3  swing       2-3-3-4-1  today       2-3-5-1-5  tunnel
2-3-1-6-4  switch      2-3-3-4-2  toddler     2-3-5-1-6  turkey
2-3-1-6-5  sword       2-3-3-4-3  toe         2-3-5-2-1  turn
2-3-1-6-6  symbol      2-3-3-4-4  together    2-3-5-2-2  turtle
2-3-2-1-1  symptom     2-3-3-4-5  toilet      2-3-5-2-3  twelve
2-3-2-1-2  syrup       2-3-3-4-6  token       2-3-5-2-4  twenty
2-3-2-1-3  system      2-3-3-5-1  tomato      2-3-5-2-5  twice
2-3-2-1-4  table       2-3-3-5-2  tomorrow    2-3-5-2-6  twin
2-3-2-1-5  tackle      2-3-3-5-3  tone        2-3-5-3-1  twist
2-3-2-1-6  tag         2-3-3-5-4  tongue      2-3-5-3-2  two
2-3-2-2-1  tail        2-3-3-5-5  tonight     2-3-5-3-3  type
2-3-2-2-2  talent      2-3-3-5-6  tool        2-3-5-3-4  typical
2-3-2-2-3  talk        2-3-3-6-1  tooth       2-3-5-3-5  ugly
2-3-2-2-4  tank        2-3-3-6-2  top         2-3-5-3-6  umbrella
2-3-2-2-5  tape        2-3-3-6-3  topic       2-3-5-4-1  unable
2-3-2-2-6  target      2-3-3-6-4  topple      2-3-5-4-2  unaware
2-3-2-3-1  task        2-3-3-6-5  torch       2-3-5-4-3  uncle
2-3-2-3-2  taste       2-3-3-6-6  tornado     2-3-5-4-4  uncover
2-3-2-3-3  tattoo      2-3-4-1-1  tortoise    2-3-5-4-5  under
2-3-2-3-4  taxi        2-3-4-1-2  toss        2-3-5-4-6  undo
2-3-2-3-5  teach       2-3-4-1-3  total       2-3-5-5-1  unfair
2-3-2-3-6  team        2-3-4-1-4  tourist     2-3-5-5-2  unfold
2-3-2-4-1  tell        2-3-4-1-5  toward      2-3-5-5-3  unhappy
2-3-2-4-2  ten         2-3-4-1-6  tower       2-3-5-5-4  uniform
2-3-2-4-3  tenant      2-3-4-2-1  town        2-3-5-5-5  unique
2-3-2-4-4  tennis      2-3-4-2-2  toy         2-3-5-5-6  unit
2-3-2-4-5  tent        2-3-4-2-3  track       2-3-5-6-1  universe
2-3-2-4-6  term        2-3-4-2-4  trade       2-3-5-6-2  unknown
2-3-2-5-1  test        2-3-4-2-5  traffic     2-3-5-6-3  unlock
2-3-2-5-2  text        2-3-4-2-6  tragic      2-3-5-6-4  until
2-3-2-5-3  thank       2-3-4-3-1  train       2-3-5-6-5  unusual
2-3-2-5-4  that        2-3-4-3-2  transfer    2-3-5-6-6  unveil
2-3-2-5-5  theme       2-3-4-3-3  trap        2-3-6-1-1  update
2-3-2-5-6  then        2-3-4-3-4  trash       2-3-6-1-2  upgrade
2-3-2-6-1  theory      2-3-4-3-5  travel      2-3-6-1-3  uphold
2-3-2-6-2  there       2-3-4-3-6  tray        2-3-6-1-4  upon
2-3-2-6-3  they        2-3-4-4-1  treat       2-3-6-1-5  upper
2-3-2-6-4  thing       2-3-4-4-2  tree        2-3-6-1-6  upset

BIP39 dice table -- throw 5d6, read left to right   page 12 of 45
1632 of 7776 throws say (reroll)  this page: 2-3-6-2-1 .. 2-4-4-6-6

2-3-6-2-1  urban       2-4-1-5-5  walk        2-4-3-3-3  worry
2-3-6-2-2  urge        2-4-1-5-6  wall        2-4-3-3-4  worth
2-3-6-2-3  usage       2-4-1-6-1  walnut      2-4-3-3-5  wrap
2-3-6-2-4  use         2-4-1-6-2  want        2-4-3-3-6  wreck
2-3-6-2-5  used        2-4-1-6-3  warfare     2-4-3-4-1  wrestle
2-3-6-2-6  useful      2-4-1-6-4  warm        2-4-3-4-2  wrist
2-3-6-3-1  useless     2-4-1-6-5  warrior     2-4-3-4-3  write
2-3-6-3-2  usual       2-4-1-6-6  wash        2-4-3-4-4  wrong
2-3-6-3-3  utility     2-4-2-1-1  wasp        2-4-3-4-5  yard
2-3-6-3-4  vacant      2-4-2-1-2  waste       2-4-3-4-6  year
2-3-6-3-5  vacuum      2-4-2-1-3  water       2-4-3-5-1  yellow
2-3-6-3-6  vague       2-4-2-1-4  wave        2-4-3-5-2  you
2-3-6-4-1  valid       2-4-2-1-5  way         2-4-3-5-3  young
2-3-6-4-2  valley      2-4-2-1-6  wealth      2-4-3-5-4  youth
2-3-6-4-3  valve       2-4-2-2-1  weapon      2-4-3-5-5  zebra
2-3-6-4-4  van         2-4-2-2-2  wear        2-4-3-5-6  zero
2-3-6-4-5  vanish      2-4-2-2-3  weasel      2-4-3-6-1  zone
2-3-6-4-6  vapor       2-4-2-2-4  weather     2-4-3-6-2  zoo
2-3-6-5-1  various     2-4-2-2-5  web         2-4-3-6-3  abandon
2-3-6-5-2  vast        2-4-2-2-6  wedding     2-4-3-6-4  ability
2-3-6-5-3  vault       2-4-2-3-1  weekend     2-4-3-6-5  able
2-3-6-5-4  vehicle     2-4-2-3-2  weird       2-4-3-6-6  about
2-3-6-5-5  velvet      2-4-2-3-3  welcome     2-4-4-1-1  above
2-3-6-5-6  vendor      2-4-2-3-4  west        2-4-4-1-2  absent
2-3-6-6-1  venture     2-4-2-3-5  wet         2-4-4-1-3  absorb
2-3-6-6-2  venue       2-4-2-3-6  whale       2-4-4-1-4  abstract
2-3-6-6-3  verb        2-4-2-4-1  what        2-4-4-1-5  absurd
2-3-6-6-4  verify      2-4-2-4-2  wheat       2-4-4-1-6  abuse
2-3-6-6-5  version     2-4-2-4-3  wheel       2-4-4-2-1  access
2-3-6-6-6  very        2-4-2-4-4  when        2-4-4-2-2  accident
2-4-1-1-1  vessel      2-4-2-4-5  where       2-4-4-2-3  account
2-4-1-1-2  veteran     2-4-2-4-6  whip        2-4-4-2-4  accuse
2-4-1-1-3  viable      2-4-2-5-1  whisper     2-4-4-2-5  achieve
2-4-1-1-4  vibrant     2-4-2-5-2  wide        2-4-4-2-6  acid
2-4-1-1-5  vicious     2-4-2-5-3  width       2-4-4-3-1  acoustic
2-4-1-1-6  victory     2-4-2-5-4  wife        2-4-4-3-2  acquire
2-4-1-2-1  video       2-4-2-5-5  wild        2-4-4-3-3  across
2-4-1-2-2  view        2-4-2-5-6  will        2-4-4-3-4  act
2-4-1-2-3  village     2-4-2-6-1  win         2-4-4-3-5  action
2-4-1-2-4  vintage     2-4-2-6-2  window      2-4-4-3-6  actor
2-4-1-2-5  violin      2-4-2-6-3  wine        2-4-4-4-1  actress
